factor,value,runs_per_policy,manual_review_all_mean,domain_aware_manual_reviews_mean,manual_review_reduction_percent,last_write_wins_silent_overwrites_mean,domain_aware_silent_overwrites_mean,silent_overwrite_reduction_percent,domain_aware_high_risk_silent_overwrites_mean
fleet_size,2,4860,0.182305,0.066667,63.43,0.18251,0.115638,36.64,0.0
fleet_size,5,4860,1.353292,0.479218,64.59,1.357613,0.876955,35.4,0.0
fleet_size,10,4860,5.023457,1.758848,64.99,5.051235,3.283333,35.0,0.0
connectivity,good,4860,0.817078,0.294856,63.91,0.818519,0.523045,36.1,0.0
connectivity,poor,4860,3.971193,1.38642,65.09,3.996091,2.601029,34.91,0.0
connectivity,moderate,4860,1.770782,0.623457,64.79,1.776749,1.151852,35.17,0.0
sync_interval_minutes,1,4860,1.545473,0.541975,64.93,1.55,1.007407,35.01,0.0
sync_interval_minutes,5,4860,1.980041,0.690123,65.15,1.98642,1.294239,34.85,0.0
sync_interval_minutes,15,4860,3.033539,1.072634,64.64,3.054938,1.97428,35.37,0.0
updates_per_display_day,2,4860,0.096091,0.035185,63.38,0.096296,0.061111,36.54,0.0
updates_per_display_day,8,4860,1.047119,0.36893,64.77,1.050206,0.679835,35.27,0.0
updates_per_display_day,20,4860,5.415844,1.900617,64.91,5.444856,3.534979,35.08,0.0
conflict_bias,0.1,4860,2.250412,0.800412,64.43,2.2607,1.455967,35.6,0.0
conflict_bias,0.01,4860,2.122222,0.746708,64.81,2.135185,1.384774,35.15,0.0
conflict_bias,0.05,4860,2.18642,0.757613,65.35,2.195473,1.435185,34.63,0.0
high_risk_update_share,0.3,4860,2.051235,0.618107,69.87,2.060494,1.440741,30.08,0.0
high_risk_update_share,0.5,4860,2.320988,1.51749,34.62,2.333333,0.806996,65.41,0.0
high_risk_update_share,0.15,4860,2.186831,0.169136,92.27,2.197531,2.028189,7.71,0.0
