scenario_index,fleet_size,connectivity,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,runs_per_policy,manual_review_all_mean,domain_aware_manual_reviews_mean,manual_review_reduction_mean,manual_review_reduction_percent,last_write_wins_silent_overwrites_mean,domain_aware_silent_overwrites_mean,silent_overwrite_reduction_mean,silent_overwrite_reduction_percent,last_write_wins_high_risk_silent_overwrites_mean,domain_aware_high_risk_silent_overwrites_mean,domain_aware_zero_high_risk_silent_overwrites,domain_aware_not_more_manual_review_than_review_all
0,2,good,1,2,0.01,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
1,2,good,1,2,0.01,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
2,2,good,1,2,0.01,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
3,2,good,1,2,0.05,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
4,2,good,1,2,0.05,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
5,2,good,1,2,0.05,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
6,2,good,1,2,0.1,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
7,2,good,1,2,0.1,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
8,2,good,1,2,0.1,0.5,20,0.05,0.05,0.0,0.0,0.05,0.0,0.05,100.0,0.05,0.0,True,True
9,2,good,1,8,0.01,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
10,2,good,1,8,0.01,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
11,2,good,1,8,0.01,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
12,2,good,1,8,0.05,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
13,2,good,1,8,0.05,0.3,20,0.05,0.0,0.05,100.0,0.05,0.05,0.0,0.0,0.0,0.0,True,True
14,2,good,1,8,0.05,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
15,2,good,1,8,0.1,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
16,2,good,1,8,0.1,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
17,2,good,1,8,0.1,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
18,2,good,1,20,0.01,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
19,2,good,1,20,0.01,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
20,2,good,1,20,0.01,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
21,2,good,1,20,0.05,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
22,2,good,1,20,0.05,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
23,2,good,1,20,0.05,0.5,20,0.05,0.0,0.05,100.0,0.05,0.05,0.0,0.0,0.0,0.0,True,True
24,2,good,1,20,0.1,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
25,2,good,1,20,0.1,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
26,2,good,1,20,0.1,0.5,20,0.25,0.25,0.0,0.0,0.25,0.0,0.25,100.0,0.25,0.0,True,True
27,2,good,5,2,0.01,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
28,2,good,5,2,0.01,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
29,2,good,5,2,0.01,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
30,2,good,5,2,0.05,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
31,2,good,5,2,0.05,0.3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
32,2,good,5,2,0.05,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
33,2,good,5,2,0.1,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
