connectivity,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,policy,runs,events_total,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,accepted_updates,sync_messages,local_superseded_updates,stale_entity_display_minutes,stale_ratio,end_stale_pairs
good,1,2,0.01,0.15,cloud_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.283333,0.0,96.516667,0.000264,0.183333
good,1,2,0.01,0.15,display_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.283333,0.0,96.516667,0.000264,0.183333
good,1,2,0.01,0.15,domain_aware,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.283333,0.0,96.516667,0.000264,0.183333
good,1,2,0.01,0.15,last_write_wins,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.283333,0.0,96.516667,0.000264,0.183333
good,1,2,0.01,0.15,manual_review_all,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.283333,0.0,96.516667,0.000264,0.183333
good,1,2,0.01,0.3,cloud_preferred,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.983333,120.4,0.0,92.183333,0.000252,0.183333
good,1,2,0.01,0.3,display_preferred,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,16.0,120.466667,0.0,92.25,0.000252,0.183333
good,1,2,0.01,0.3,domain_aware,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.983333,120.4,0.0,92.183333,0.000252,0.183333
good,1,2,0.01,0.3,last_write_wins,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.983333,120.4,0.0,92.183333,0.000252,0.183333
good,1,2,0.01,0.3,manual_review_all,60,16.0,0.016667,0.0,0.0,0.0,0.016667,0.0,15.983333,120.4,0.0,92.183333,0.000252,0.183333
good,1,2,0.01,0.5,cloud_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.25,0.0,94.283333,0.000258,0.266667
good,1,2,0.01,0.5,display_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.25,0.0,94.283333,0.000258,0.266667
good,1,2,0.01,0.5,domain_aware,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.25,0.0,94.283333,0.000258,0.266667
good,1,2,0.01,0.5,last_write_wins,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.25,0.0,94.283333,0.000258,0.266667
good,1,2,0.01,0.5,manual_review_all,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.25,0.0,94.283333,0.000258,0.266667
good,1,2,0.05,0.15,cloud_preferred,60,16.0,0.016667,0.016667,0.016667,0.016667,0.0,0.0,15.983333,120.05,0.0,96.233333,0.000252,0.483333
good,1,2,0.05,0.15,display_preferred,60,16.0,0.016667,0.016667,0.016667,0.016667,0.0,0.0,16.0,120.1,0.0,96.25,0.000252,0.483333
good,1,2,0.05,0.15,domain_aware,60,16.0,0.016667,0.016667,0.0,0.0,0.016667,0.016667,15.983333,120.05,0.0,96.233333,0.000252,0.483333
good,1,2,0.05,0.15,last_write_wins,60,16.0,0.016667,0.016667,0.016667,0.016667,0.0,0.0,16.0,120.1,0.0,96.25,0.000252,0.483333
good,1,2,0.05,0.15,manual_review_all,60,16.0,0.016667,0.016667,0.0,0.0,0.016667,0.016667,15.983333,120.05,0.0,96.233333,0.000252,0.483333
good,1,2,0.05,0.3,cloud_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.1,0.0,91.2,0.000248,0.4
good,1,2,0.05,0.3,display_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.1,0.0,91.2,0.000248,0.4
good,1,2,0.05,0.3,domain_aware,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.1,0.0,91.2,0.000248,0.4
good,1,2,0.05,0.3,last_write_wins,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.1,0.0,91.2,0.000248,0.4
good,1,2,0.05,0.3,manual_review_all,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.983333,120.1,0.0,91.2,0.000248,0.4
good,1,2,0.05,0.5,cloud_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.4,0.0,95.583333,0.000255,0.116667
good,1,2,0.05,0.5,display_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.4,0.0,95.583333,0.000255,0.116667
good,1,2,0.05,0.5,domain_aware,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.4,0.0,95.583333,0.000255,0.116667
good,1,2,0.05,0.5,last_write_wins,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.4,0.0,95.583333,0.000255,0.116667
good,1,2,0.05,0.5,manual_review_all,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.4,0.0,95.583333,0.000255,0.116667
good,1,2,0.1,0.15,cloud_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.266667,0.0,90.816667,0.000243,0.183333
good,1,2,0.1,0.15,display_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.266667,0.0,90.816667,0.000243,0.183333
good,1,2,0.1,0.15,domain_aware,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.266667,0.0,90.816667,0.000243,0.183333
good,1,2,0.1,0.15,last_write_wins,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.266667,0.0,90.816667,0.000243,0.183333
good,1,2,0.1,0.15,manual_review_all,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.266667,0.0,90.816667,0.000243,0.183333
good,1,2,0.1,0.3,cloud_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95,120.233333,0.0,95.533333,0.000259,0.15
good,1,2,0.1,0.3,display_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95,120.233333,0.0,95.533333,0.000259,0.15
good,1,2,0.1,0.3,domain_aware,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95,120.233333,0.0,95.533333,0.000259,0.15
good,1,2,0.1,0.3,last_write_wins,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95,120.233333,0.0,95.533333,0.000259,0.15
good,1,2,0.1,0.3,manual_review_all,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95,120.233333,0.0,95.533333,0.000259,0.15
good,1,2,0.1,0.5,cloud_preferred,60,16.0,0.033333,0.033333,0.033333,0.033333,0.0,0.0,15.95,119.933333,0.0,102.466667,0.000271,0.266667
good,1,2,0.1,0.5,display_preferred,60,16.0,0.033333,0.033333,0.033333,0.033333,0.0,0.0,15.983333,120.083333,0.0,102.5,0.000271,0.266667
good,1,2,0.1,0.5,domain_aware,60,16.0,0.033333,0.033333,0.0,0.0,0.033333,0.033333,15.95,119.933333,0.0,102.466667,0.000271,0.266667
good,1,2,0.1,0.5,last_write_wins,60,16.0,0.033333,0.033333,0.033333,0.033333,0.0,0.0,15.95,119.933333,0.0,102.466667,0.000271,0.266667
good,1,2,0.1,0.5,manual_review_all,60,16.0,0.033333,0.033333,0.0,0.0,0.033333,0.033333,15.95,119.933333,0.0,102.466667,0.000271,0.266667
good,1,8,0.01,0.15,cloud_preferred,60,63.333333,0.05,0.0,0.05,0.0,0.0,0.0,63.2,478.366667,0.033333,367.45,0.000991,0.783333
good,1,8,0.01,0.15,display_preferred,60,63.333333,0.05,0.0,0.05,0.0,0.0,0.0,63.25,478.816667,0.033333,367.783333,0.000992,0.783333
good,1,8,0.01,0.15,domain_aware,60,63.333333,0.05,0.0,0.05,0.0,0.0,0.0,63.2,478.366667,0.033333,367.45,0.000991,0.783333
good,1,8,0.01,0.15,last_write_wins,60,63.333333,0.05,0.0,0.05,0.0,0.0,0.0,63.2,478.366667,0.033333,367.45,0.000991,0.783333
good,1,8,0.01,0.15,manual_review_all,60,63.333333,0.05,0.0,0.0,0.0,0.05,0.0,63.2,478.366667,0.033333,367.45,0.000991,0.783333
good,1,8,0.01,0.3,cloud_preferred,60,63.333333,0.033333,0.016667,0.033333,0.016667,0.0,0.0,63.216667,478.983333,0.0,380.183333,0.001023,0.683333
good,1,8,0.01,0.3,display_preferred,60,63.333333,0.033333,0.016667,0.033333,0.016667,0.0,0.0,63.25,479.166667,0.0,380.283333,0.001023,0.683333
good,1,8,0.01,0.3,domain_aware,60,63.333333,0.033333,0.016667,0.016667,0.0,0.016667,0.016667,63.216667,478.983333,0.0,380.183333,0.001023,0.683333
good,1,8,0.01,0.3,last_write_wins,60,63.333333,0.033333,0.016667,0.033333,0.016667,0.0,0.0,63.216667,478.983333,0.0,380.183333,0.001023,0.683333
good,1,8,0.01,0.3,manual_review_all,60,63.333333,0.033333,0.016667,0.0,0.0,0.033333,0.016667,63.216667,478.983333,0.0,380.183333,0.001023,0.683333
good,1,8,0.01,0.5,cloud_preferred,60,63.333333,0.05,0.016667,0.05,0.016667,0.0,0.0,63.216667,478.216667,0.016667,368.85,0.001012,0.633333
good,1,8,0.01,0.5,display_preferred,60,63.333333,0.05,0.016667,0.05,0.016667,0.0,0.0,63.266667,478.583333,0.016667,369.066667,0.001012,0.633333
good,1,8,0.01,0.5,domain_aware,60,63.333333,0.05,0.016667,0.033333,0.0,0.016667,0.016667,63.233333,478.283333,0.016667,368.916667,0.001012,0.633333
good,1,8,0.01,0.5,last_write_wins,60,63.333333,0.05,0.016667,0.05,0.016667,0.0,0.0,63.233333,478.283333,0.016667,368.916667,0.001012,0.633333
good,1,8,0.01,0.5,manual_review_all,60,63.333333,0.05,0.016667,0.0,0.0,0.05,0.016667,63.216667,478.216667,0.016667,368.85,0.001012,0.633333
good,1,8,0.05,0.15,cloud_preferred,60,63.333333,0.066667,0.0,0.066667,0.0,0.0,0.0,63.2,478.7,0.016667,391.016667,0.001047,0.85
good,1,8,0.05,0.15,display_preferred,60,63.333333,0.066667,0.0,0.066667,0.0,0.0,0.0,63.266667,478.883333,0.016667,391.316667,0.001048,0.85
