policy,high_risk_update_share,conflict_bias,runs,events_total,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,accepted_updates,sync_messages,local_superseded_updates,stale_entity_display_minutes,stale_ratio,end_stale_pairs
cloud_preferred,0.15,0.01,1620,79.333333,2.135802,0.16358,2.135802,0.16358,0.0,0.0,74.675309,526.769753,0.296914,7539.041358,0.021182,18.133333
cloud_preferred,0.15,0.05,1620,79.333333,2.154938,0.159259,2.154938,0.159259,0.0,0.0,74.530247,523.82284,0.308025,7492.238889,0.020972,18.965432
cloud_preferred,0.15,0.1,1620,79.333333,2.269753,0.184568,2.269753,0.184568,0.0,0.0,74.388272,522.214198,0.367284,7529.846296,0.021058,19.019753
cloud_preferred,0.3,0.01,1620,79.333333,1.997531,0.607407,1.997531,0.607407,0.0,0.0,74.733333,527.202469,0.287037,7667.420988,0.021406,18.931481
cloud_preferred,0.3,0.05,1620,79.333333,2.056173,0.595679,2.056173,0.595679,0.0,0.0,74.687037,526.285802,0.297531,7635.235802,0.021254,19.244444
cloud_preferred,0.3,0.1,1620,79.333333,2.1,0.651235,2.1,0.651235,0.0,0.0,74.635802,526.940741,0.333333,7458.154321,0.020838,18.582716
cloud_preferred,0.5,0.01,1620,79.333333,2.233333,1.469136,2.233333,1.469136,0.0,0.0,74.471605,523.441975,0.311111,7478.47716,0.021026,18.848148
cloud_preferred,0.5,0.05,1620,79.333333,2.348148,1.517901,2.348148,1.517901,0.0,0.0,74.388889,522.769753,0.372222,7579.210494,0.021297,17.901852
cloud_preferred,0.5,0.1,1620,79.333333,2.381481,1.565432,2.381481,1.565432,0.0,0.0,74.283951,520.882099,0.399383,7422.337037,0.020809,18.589506
display_preferred,0.15,0.01,1620,79.333333,2.189506,0.16358,2.189506,0.16358,0.0,0.0,76.811111,535.820988,0.296914,7684.216049,0.021534,18.674691
display_preferred,0.15,0.05,1620,79.333333,2.202469,0.161728,2.202469,0.161728,0.0,0.0,76.685185,532.964815,0.308025,7640.409259,0.021324,19.467901
display_preferred,0.15,0.1,1620,79.333333,2.322222,0.187037,2.322222,0.187037,0.0,0.0,76.658025,531.712346,0.367284,7691.219753,0.021449,19.526543
display_preferred,0.3,0.01,1620,79.333333,2.041358,0.619136,2.041358,0.619136,0.0,0.0,76.730864,535.831481,0.287037,7809.57284,0.021744,19.358025
display_preferred,0.3,0.05,1620,79.333333,2.099383,0.608642,2.099383,0.608642,0.0,0.0,76.74321,535.215432,0.297531,7785.010494,0.021609,19.66358
display_preferred,0.3,0.1,1620,79.333333,2.151235,0.667901,2.151235,0.667901,0.0,0.0,76.735802,535.82963,0.333333,7605.002469,0.021188,19.070988
display_preferred,0.5,0.01,1620,79.333333,2.296914,1.516667,2.296914,1.516667,0.0,0.0,76.704938,532.784568,0.311111,7620.99321,0.021369,19.27284
display_preferred,0.5,0.05,1620,79.333333,2.408025,1.564198,2.408025,1.564198,0.0,0.0,76.737037,532.737037,0.372222,7741.273457,0.021684,18.340741
display_preferred,0.5,0.1,1620,79.333333,2.448148,1.614815,2.448148,1.614815,0.0,0.0,76.665432,530.601852,0.399383,7583.415432,0.021194,19.14321
domain_aware,0.15,0.01,1620,79.333333,2.151235,0.16358,1.987654,0.0,0.16358,0.16358,75.128395,528.535185,0.296914,7566.403704,0.021246,18.228395
domain_aware,0.15,0.05,1620,79.333333,2.164198,0.159259,2.004938,0.0,0.159259,0.159259,74.998148,525.638889,0.308025,7521.350617,0.021043,19.045679
domain_aware,0.15,0.1,1620,79.333333,2.276543,0.184568,2.091975,0.0,0.184568,0.184568,74.872222,524.12963,0.367284,7563.243827,0.02114,19.101852
domain_aware,0.3,0.01,1620,79.333333,2.006173,0.607407,1.398765,0.0,0.607407,0.607407,75.02963,528.391975,0.287037,7687.211111,0.021454,18.984568
domain_aware,0.3,0.05,1620,79.333333,2.061728,0.595679,1.466049,0.0,0.595679,0.595679,75.034568,527.703704,0.297531,7659.567901,0.021313,19.308025
domain_aware,0.3,0.1,1620,79.333333,2.108642,0.651235,1.457407,0.0,0.651235,0.651235,74.974074,528.319136,0.333333,7481.716049,0.020893,18.665432
domain_aware,0.5,0.01,1620,79.333333,2.237037,1.469136,0.767901,0.0,1.469136,1.469136,74.646914,524.179012,0.311111,7490.607407,0.021055,18.880864
domain_aware,0.5,0.05,1620,79.333333,2.352469,1.517901,0.834568,0.0,1.517901,1.517901,74.588272,523.591975,0.372222,7592.811728,0.021331,17.941358
domain_aware,0.5,0.1,1620,79.333333,2.383951,1.565432,0.818519,0.0,1.565432,1.565432,74.481481,521.722222,0.399383,7437.745062,0.020845,18.637037
last_write_wins,0.15,0.01,1620,79.333333,2.151235,0.16358,2.151235,0.16358,0.0,0.0,75.161728,528.7,0.296914,7568.618519,0.021253,18.233951
last_write_wins,0.15,0.05,1620,79.333333,2.164815,0.159877,2.164815,0.159877,0.0,0.0,75.040741,525.798148,0.308025,7523.625309,0.021049,19.053086
last_write_wins,0.15,0.1,1620,79.333333,2.276543,0.184568,2.276543,0.184568,0.0,0.0,74.92716,524.344444,0.367284,7567.328395,0.02115,19.116049
last_write_wins,0.3,0.01,1620,79.333333,2.007407,0.608642,2.007407,0.608642,0.0,0.0,75.173457,528.945062,0.287037,7695.685802,0.021474,19.02037
last_write_wins,0.3,0.05,1620,79.333333,2.06358,0.597531,2.06358,0.597531,0.0,0.0,75.170988,528.235802,0.297531,7668.440123,0.021336,19.32716
last_write_wins,0.3,0.1,1620,79.333333,2.110494,0.653086,2.110494,0.653086,0.0,0.0,75.125926,528.909259,0.333333,7491.708025,0.020918,18.695679
last_write_wins,0.5,0.01,1620,79.333333,2.246914,1.479012,2.246914,1.479012,0.0,0.0,74.965432,525.385185,0.311111,7510.260494,0.021103,18.941975
last_write_wins,0.5,0.05,1620,79.333333,2.358025,1.523457,2.358025,1.523457,0.0,0.0,74.916667,524.846296,0.372222,7613.275309,0.021381,17.993827
last_write_wins,0.5,0.1,1620,79.333333,2.395062,1.576543,2.395062,1.576543,0.0,0.0,74.874691,523.155556,0.399383,7460.918519,0.020902,18.695679
manual_review_all,0.15,0.01,1620,79.333333,2.135802,0.16358,0.0,0.0,2.135802,0.16358,74.675309,526.769753,0.296914,7539.041358,0.021182,18.133333
manual_review_all,0.15,0.05,1620,79.333333,2.154938,0.159259,0.0,0.0,2.154938,0.159259,74.530247,523.82284,0.308025,7492.238889,0.020972,18.965432
manual_review_all,0.15,0.1,1620,79.333333,2.269753,0.184568,0.0,0.0,2.269753,0.184568,74.388272,522.214198,0.367284,7529.846296,0.021058,19.019753
manual_review_all,0.3,0.01,1620,79.333333,1.997531,0.607407,0.0,0.0,1.997531,0.607407,74.733333,527.202469,0.287037,7667.420988,0.021406,18.931481
manual_review_all,0.3,0.05,1620,79.333333,2.056173,0.595679,0.0,0.0,2.056173,0.595679,74.687037,526.285802,0.297531,7635.235802,0.021254,19.244444
manual_review_all,0.3,0.1,1620,79.333333,2.1,0.651235,0.0,0.0,2.1,0.651235,74.635802,526.940741,0.333333,7458.154321,0.020838,18.582716
manual_review_all,0.5,0.01,1620,79.333333,2.233333,1.469136,0.0,0.0,2.233333,1.469136,74.471605,523.441975,0.311111,7478.47716,0.021026,18.848148
manual_review_all,0.5,0.05,1620,79.333333,2.348148,1.517901,0.0,0.0,2.348148,1.517901,74.388889,522.769753,0.372222,7579.210494,0.021297,17.901852
manual_review_all,0.5,0.1,1620,79.333333,2.381481,1.565432,0.0,0.0,2.381481,1.565432,74.283951,520.882099,0.399383,7422.337037,0.020809,18.589506
