replication,policy,fleet_size,connectivity,online_probability,mean_outage_minutes,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,events_total,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,accepted_updates,sync_messages,local_superseded_updates,stale_entity_display_minutes,stale_ratio,end_stale_pairs,scenario_index,run_seed,realization_seed
0,last_write_wins,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,0,0.0,0,0,686579303,686579303
0,cloud_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,0,0.0,0,0,686579303,686579303
0,display_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,0,0.0,0,0,686579303,686579303
0,manual_review_all,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,0,0.0,0,0,686579303,686579303
0,domain_aware,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,0,0.0,0,0,686579303,686579303
1,last_write_wins,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,19,0.00019791666666666666,0,0,119540831,119540831
1,cloud_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,19,0.00019791666666666666,0,0,119540831,119540831
1,display_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,19,0.00019791666666666666,0,0,119540831,119540831
1,manual_review_all,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,19,0.00019791666666666666,0,0,119540831,119540831
1,domain_aware,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,19,0.00019791666666666666,0,0,119540831,119540831
2,last_write_wins,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,5,5.208333333333334e-05,0,0,26855092,26855092
2,cloud_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,5,5.208333333333334e-05,0,0,26855092,26855092
2,display_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,5,5.208333333333334e-05,0,0,26855092,26855092
2,manual_review_all,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,5,5.208333333333334e-05,0,0,26855092,26855092
2,domain_aware,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,5,5.208333333333334e-05,0,0,26855092,26855092
3,last_write_wins,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,2,2.0833333333333333e-05,0,0,796233790,796233790
3,cloud_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,2,2.0833333333333333e-05,0,0,796233790,796233790
3,display_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,2,2.0833333333333333e-05,0,0,796233790,796233790
3,manual_review_all,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,2,2.0833333333333333e-05,0,0,796233790,796233790
3,domain_aware,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,2,2.0833333333333333e-05,0,0,796233790,796233790
4,last_write_wins,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,3,3.125e-05,0,0,295310485,295310485
4,cloud_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,3,3.125e-05,0,0,295310485,295310485
4,display_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,3,3.125e-05,0,0,295310485,295310485
4,manual_review_all,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,3,3.125e-05,0,0,295310485,295310485
4,domain_aware,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,3,3.125e-05,0,0,295310485,295310485
5,last_write_wins,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,8,8.333333333333333e-05,0,0,262950628,262950628
5,cloud_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,8,8.333333333333333e-05,0,0,262950628,262950628
5,display_preferred,2,good,0.9,5.0,1,2,0.01,0.15,6,0,0,0,0,0,0,6,12,0,8,8.333333333333333e-05,0,0,262950628,262950628
